2026-05-18T17:50:15.986995100Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=33.9 fps_gdx=36 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:50:17.993464400Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=36.4 fps_gdx=36 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:50:20.000263500Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=33.9 fps_gdx=38 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:50:21.980993900Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=35.8 fps_gdx=35 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:50:24.001493800Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=33.7 fps_gdx=36 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:50:25.992591900Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=36.2 fps_gdx=35 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:50:28.019467100Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=35.5 fps_gdx=37 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:50:29.979581400Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=32.7 fps_gdx=30 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:50:31.975914Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=33.0 fps_gdx=33 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:50:35.350661900Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=65.9 fps_gdx=73 depth=1 branch=0 mobs_alive=11 mobs_in_fov=0 load=normal
2026-05-18T17:50:37.359005600Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=78.1 fps_gdx=78 depth=1 branch=0 mobs_alive=11 mobs_in_fov=3 load=normal
2026-05-18T17:50:39.346915300Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=76.0 fps_gdx=79 depth=1 branch=0 mobs_alive=11 mobs_in_fov=3 load=normal
2026-05-18T17:50:41.349235800Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=75.9 fps_gdx=77 depth=1 branch=0 mobs_alive=11 mobs_in_fov=3 load=normal
2026-05-18T17:50:43.391892200Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=78.4 fps_gdx=76 depth=2 branch=0 mobs_alive=7 mobs_in_fov=2 load=normal
2026-05-18T17:50:45.449928200Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=40.3 fps_gdx=49 depth=2 branch=0 mobs_alive=7 mobs_in_fov=2 load=normal
2026-05-18T17:50:47.410055200Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=23.0 fps_gdx=26 depth=2 branch=0 mobs_alive=7 mobs_in_fov=2 load=normal
2026-05-18T17:50:49.388274700Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=31.3 fps_gdx=33 depth=2 branch=0 mobs_alive=7 mobs_in_fov=2 load=normal
2026-05-18T17:50:51.423031100Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=35.9 fps_gdx=35 depth=2 branch=0 mobs_alive=7 mobs_in_fov=2 load=normal
2026-05-18T17:50:53.386244200Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=34.6 fps_gdx=37 depth=2 branch=0 mobs_alive=7 mobs_in_fov=2 load=normal
2026-05-18T17:50:55.393448500Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=34.9 fps_gdx=38 depth=2 branch=0 mobs_alive=7 mobs_in_fov=2 load=normal
2026-05-18T17:50:57.398586700Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=31.4 fps_gdx=32 depth=2 branch=0 mobs_alive=7 mobs_in_fov=2 load=normal
2026-05-18T17:50:59.389932700Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=33.6 fps_gdx=31 depth=2 branch=0 mobs_alive=7 mobs_in_fov=2 load=normal
2026-05-18T17:51:01.447724100Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=39.9 fps_gdx=43 depth=2 branch=0 mobs_alive=7 mobs_in_fov=2 load=normal
2026-05-18T17:51:03.389887200Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=37.6 fps_gdx=37 depth=2 branch=0 mobs_alive=7 mobs_in_fov=2 load=normal
2026-05-18T17:51:05.410753600Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=35.1 fps_gdx=37 depth=2 branch=0 mobs_alive=7 mobs_in_fov=2 load=normal
2026-05-18T17:51:07.386141300Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=62.8 fps_gdx=67 depth=2 branch=0 mobs_alive=7 mobs_in_fov=3 load=normal
2026-05-18T17:51:09.393688900Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=71.7 fps_gdx=74 depth=2 branch=0 mobs_alive=7 mobs_in_fov=1 load=normal
