2026-05-22T02:05:32.497625Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=109.1 fps_gdx=109 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:34.492751Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=108.3 fps_gdx=108 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:36.492774Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=112.5 fps_gdx=119 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:38.501222Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=69.7 fps_gdx=60 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:40.500007Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=61 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:42.500189Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=60 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:44.500384Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=61 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:46.501200Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=59.0 fps_gdx=58 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:48.508232Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=58.5 fps_gdx=61 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:50.500448Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=59.0 fps_gdx=61 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:52.501170Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=58.5 fps_gdx=60 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:54.500802Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=61 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:56.500648Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=58.5 fps_gdx=60 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
